Data,Model,Degree,MSE,RMSE,MAE,MDAE,EVS,R2
Namakkal,DTR,4,0.008471024,0.091761424,0.06563867,0.047457339,0.768334618,0.766601314
Namakkal,DTR,5,0.008886845,0.09397422,0.066129778,0.046462477,0.756992183,0.755134498
Namakkal,DTR,6,0.009540425,0.097345271,0.067711706,0.047393001,0.738493961,0.736505332
Namakkal,DTR,7,0.010431114,0.101701918,0.070234897,0.049103772,0.713870504,0.711365726
Perambalur,DTR,2,0.007023509,0.083294347,0.060681402,0.043582648,0.702906675,0.699231533
Perambalur,DTR,3,0.005405851,0.073078572,0.050831138,0.034236817,0.77023009,0.767699923
Perambalur,DTR,4,0.005247407,0.071986742,0.048168814,0.032099528,0.776126281,0.773464342
Perambalur,DTR,5,0.005314818,0.072397338,0.047834147,0.031570256,0.773505416,0.770927513
Perambalur,DTR,6,0.005804683,0.075699915,0.049380969,0.031919121,0.752298656,0.749451089
Perambalur,DTR,7,0.006322822,0.07902732,0.051184778,0.032454001,0.730322763,0.727171322
Pudukkottai,DTR,2,0.005901119,0.076314687,0.054580859,0.03865919,0.75836449,0.755617136
Pudukkottai,DTR,3,0.005108637,0.070921688,0.047838897,0.029652506,0.791701283,0.789177033
Pudukkottai,DTR,4,0.005015877,0.070217705,0.046196319,0.02797814,0.794909097,0.792548559
Pudukkottai,DTR,5,0.005330688,0.072356249,0.046645958,0.027881479,0.78000488,0.777653902
Pudukkottai,DTR,6,0.005785935,0.075338015,0.048291055,0.028647021,0.761696551,0.759000481
Pudukkottai,DTR,7,0.006416378,0.079366773,0.050470462,0.029361641,0.736075678,0.732953096
Ramanathapuram,DTR,2,0.007580252,0.086627917,0.060459096,0.038052907,0.705608562,0.702991264
Ramanathapuram,DTR,3,0.006676789,0.081258835,0.054723295,0.035256888,0.740793201,0.737934998
Ramanathapuram,DTR,4,0.006487288,0.080069194,0.052171592,0.031177741,0.748465773,0.745681366
Ramanathapuram,DTR,5,0.006597627,0.080624942,0.051193193,0.03113255,0.743718005,0.741238019
Ramanathapuram,DTR,6,0.006968241,0.082903094,0.052412487,0.031568079,0.729752827,0.727094333
Ramanathapuram,DTR,7,0.007486819,0.085976562,0.054322786,0.032641944,0.708560675,0.705705232
Salem,DTR,2,0.01071954,0.103109879,0.075308714,0.048607309,0.699058977,0.69672097
Salem,DTR,3,0.008357567,0.091030571,0.063533538,0.044634725,0.764407685,0.762717869
Salem,DTR,4,0.008428376,0.091342476,0.061539425,0.041499362,0.762341472,0.760914928
Salem,DTR,5,0.008649987,0.092487126,0.061488651,0.040616058,0.755621066,0.753991276
Salem,DTR,6,0.00925068,0.095508636,0.062697448,0.040741525,0.739184828,0.737415525
Salem,DTR,7,0.010144519,0.099989985,0.065243829,0.041376021,0.713629356,0.711844283
Sivaganga,DTR,2,0.006562497,0.080608382,0.05784941,0.042857539,0.734298841,0.732033831
Sivaganga,DTR,3,0.00545384,0.073426638,0.051454163,0.034256133,0.779166446,0.777384978
Sivaganga,DTR,4,0.005646333,0.074636439,0.050219391,0.032206038,0.770855441,0.768907109
Sivaganga,DTR,5,0.005948719,0.076588048,0.05077176,0.032218382,0.758690777,0.756679843
Sivaganga,DTR,6,0.006466562,0.079812365,0.052164424,0.03190656,0.737498931,0.735276315
Sivaganga,DTR,7,0.006953412,0.082750289,0.053800816,0.03253558,0.71881531,0.716421094
Thanjavur,DTR,2,0.006380179,0.079264841,0.054987147,0.039319156,0.734137901,0.731351506
Thanjavur,DTR,3,0.005461927,0.073143794,0.048281336,0.030424363,0.773433687,0.771040238
Thanjavur,DTR,4,0.005405289,0.072694351,0.046363013,0.027616754,0.77571014,0.773594612
Thanjavur,DTR,5,0.005467898,0.073113385,0.046227399,0.027609059,0.771636438,0.769395234
Thanjavur,DTR,6,0.005974407,0.076450991,0.047785529,0.027615836,0.750442069,0.747899568
Thanjavur,DTR,7,0.006552472,0.080065564,0.049628803,0.028444223,0.726308776,0.723098217
Theni,DTR,2,0.006247974,0.077907862,0.05109496,0.030757057,0.677112415,0.673905226
Theni,DTR,3,0.005831113,0.075270693,0.047122886,0.028483101,0.698021705,0.694888325
Theni,DTR,4,0.006120184,0.07702995,0.046416221,0.027062056,0.680810193,0.677600775
Theni,DTR,5,0.007157998,0.082990601,0.047766393,0.02720822,0.62573393,0.622234251
Theni,DTR,6,0.007998641,0.087902288,0.049536082,0.027078128,0.579930721,0.57643108
Theni,DTR,7,0.008933926,0.093129733,0.051864289,0.027741231,0.528505821,0.524159142
The Nilgiris,DTR,2,0.004137487,0.063205596,0.038286372,0.01929235,0.749277855,0.747390604
The Nilgiris,DTR,3,0.003578438,0.058264277,0.030869252,0.013768848,0.785760428,0.784228396
The Nilgiris,DTR,4,0.003320792,0.055812278,0.027961598,0.011654309,0.803112001,0.801764955
The Nilgiris,DTR,5,0.00358984,0.058159809,0.02808505,0.01105062,0.784297232,0.782491274
The Nilgiris,DTR,6,0.003840144,0.060296983,0.028796534,0.010860334,0.768125288,0.765829819
The Nilgiris,DTR,7,0.00420803,0.063582622,0.029967303,0.010985604,0.742515859,0.739771245
Thiruvallur,DTR,2,0.007505704,0.085837671,0.056828262,0.030850901,0.722708957,0.719565454
Thiruvallur,DTR,3,0.00602826,0.076931747,0.048407291,0.026916347,0.774562204,0.77218579
Thiruvallur,DTR,4,0.004906332,0.069317883,0.042274067,0.02254776,0.816273492,0.813899149
Thiruvallur,DTR,5,0.005030692,0.070214111,0.042388235,0.022861133,0.809954902,0.807481055
Thiruvallur,DTR,6,0.005188,0.071322379,0.042632247,0.022864286,0.803929285,0.801273496
Thiruvallur,DTR,7,0.005542388,0.073611703,0.043732549,0.023588157,0.791448614,0.788839568
Thiruvarur,DTR,2,0.007170016,0.084270474,0.058360258,0.037718095,0.693678679,0.691253295
Thiruvarur,DTR,3,0.006176671,0.078119897,0.051643595,0.031923047,0.736566413,0.73440673
Thiruvarur,DTR,4,0.005811317,0.075746272,0.049149455,0.030669329,0.751934129,0.749855737
Thiruvarur,DTR,5,0.005992846,0.076954428,0.049863608,0.030552467,0.742787941,0.74081175
Thiruvarur,DTR,6,0.006463792,0.079864728,0.051067858,0.030491407,0.723190866,0.721052162
Thiruvarur,DTR,7,0.007126981,0.08381518,0.053026353,0.030911991,0.694612357,0.692246068
Thoothukkudi,DTR,2,0.010326123,0.101116958,0.073956737,0.053780523,0.588102826,0.584386941
Thoothukkudi,DTR,3,0.009385059,0.096353393,0.067690828,0.048263187,0.625930302,0.623099934
Thoothukkudi,DTR,4,0.008858023,0.093395756,0.064832959,0.045851736,0.648448772,0.645872081
Thoothukkudi,DTR,5,0.009042059,0.094427081,0.063655979,0.042362365,0.6397588,0.637039149
Thoothukkudi,DTR,6,0.009822408,0.098342594,0.064747343,0.041069155,0.607797756,0.605030895
Thoothukkudi,DTR,7,0.010610336,0.102239127,0.067078398,0.041918326,0.575319832,0.572133449
Tiruchirapalli,DTR,2,0.008064635,0.089439304,0.066267282,0.046651371,0.689879919,0.686447542
Tiruchirapalli,DTR,3,0.006612851,0.080944496,0.058037644,0.041769775,0.74506647,0.742526756
Tiruchirapalli,DTR,4,0.006649512,0.081161165,0.056305537,0.039848008,0.743464488,0.740961889
Tiruchirapalli,DTR,5,0.006702944,0.081461432,0.055844553,0.038338993,0.741177005,0.738881658
Tiruchirapalli,DTR,6,0.007148726,0.084032226,0.057047044,0.038961278,0.724067271,0.721529233
Tiruchirapalli,DTR,7,0.007699857,0.087300144,0.059200395,0.039777886,0.701969737,0.699525429
Tirunelveli,DTR,2,0.010214722,0.100572084,0.071749439,0.048543486,0.599646821,0.596878958
Tirunelveli,DTR,3,0.009722987,0.098087814,0.066868288,0.043106625,0.61832643,0.615585043
Tirunelveli,DTR,4,0.009898805,0.098907903,0.064790211,0.040957994,0.61173693,0.609184901
Tirunelveli,DTR,5,0.010341585,0.100847514,0.065015763,0.039291597,0.593566274,0.590650396
Tirunelveli,DTR,6,0.011172188,0.104854085,0.066387029,0.040605998,0.560960134,0.557689694
Tirunelveli,DTR,7,0.012240832,0.109633585,0.069435316,0.041850448,0.519205772,0.515395143
Tiruvannamalai,DTR,2,0.009230261,0.095605858,0.065250093,0.039350728,0.723509931,0.721053896
Tiruvannamalai,DTR,3,0.007604364,0.086763477,0.056317414,0.034625644,0.772435325,0.77042399
Tiruvannamalai,DTR,4,0.006184516,0.078247418,0.049812038,0.029435288,0.814783514,0.813089072
Tiruvannamalai,DTR,5,0.005968842,0.076822529,0.048906783,0.028530296,0.820703338,0.819122635
Tiruvannamalai,DTR,6,0.006570699,0.080503975,0.050617557,0.02828073,0.801898989,0.800218782
Tiruvannamalai,DTR,7,0.007299736,0.084866168,0.053428475,0.030203719,0.779253494,0.777447115
Vellore,DTR,2,0.009071866,0.094632574,0.067311155,0.041240527,0.732438057,0.730128587
Vellore,DTR,3,0.007936413,0.088535514,0.059687222,0.037765634,0.76537564,0.763358926
Vellore,DTR,4,0.007457883,0.085872502,0.056432283,0.035195965,0.778499609,0.776819909
Vellore,DTR,5,0.007919311,0.088485132,0.057177726,0.03401843,0.764395283,0.7625831
Vellore,DTR,6,0.008442008,0.091382652,0.058649994,0.033146904,0.748694346,0.746793855
Vellore,DTR,7,0.009175778,0.095209505,0.060733459,0.034102707,0.726112218,0.724550973
Viluppuram,DTR,2,0.0058202,0.075844342,0.053398744,0.03649023,0.818804864,0.816542293
Viluppuram,DTR,3,0.003982091,0.062611944,0.04105387,0.025164584,0.876447597,0.874890895
Viluppuram,DTR,4,0.003086152,0.055078385,0.036104445,0.022980338,0.903901651,0.902819183
Viluppuram,DTR,5,0.00285208,0.052982449,0.034027327,0.021426371,0.910628598,0.909678444
Viluppuram,DTR,6,0.002877639,0.053151875,0.033525128,0.02063489,0.910041455,0.909090859
Viluppuram,DTR,7,0.003021611,0.054484142,0.0341396,0.020477753,0.905652157,0.904661937
Virudhunagar,DTR,2,0.010918186,0.103812698,0.072058512,0.047916567,0.5585544,0.555040235
Virudhunagar,DTR,3,0.010013454,0.099254686,0.06685241,0.045742998,0.596345038,0.592783708
Virudhunagar,DTR,4,0.010450243,0.101274642,0.066085855,0.042901897,0.580130778,0.576970493
Virudhunagar,DTR,5,0.011002647,0.103701651,0.066165109,0.041173453,0.558998215,0.555636617
Virudhunagar,DTR,6,0.011969828,0.108313712,0.068077951,0.042170829,0.516569896,0.512581025
Virudhunagar,DTR,7,0.013060502,0.113054084,0.070872867,0.042805826,0.472622748,0.467532777
All Districts,SVR,linear,0.001511631,0.038836993,0.031099704,0.027927937,0.696289746,0.493993565
All Districts,SVR,poly,0.004113899,0.064134247,0.057445659,0.057694583,0.582448353,-0.382870171
All Districts,SVR,rbf,0.002735687,0.0522895,0.046334522,0.046570512,0.684517978,0.081442931
All Districts,SVR,sigmoid,0.001555829,0.03939874,0.03302229,0.031773786,0.747549571,0.479499229
Cluster 0,SVR,linear,0.004828338,0.069389423,0.052590005,0.041925974,0.734303666,0.716197966
Cluster 0,SVR,poly,0.00679496,0.082366496,0.067467332,0.064095486,0.635896276,0.600130735
Cluster 0,SVR,rbf,0.005049896,0.070975821,0.055701849,0.046863955,0.729215731,0.703069717
Cluster 0,SVR,sigmoid,0.707090016,0.839222089,0.511501176,0.308357417,-38.34894092,-40.84154977
Cluster 1,SVR,linear,0.003040096,0.055095282,0.040112048,0.031156036,0.772786757,0.772474194
Cluster 1,SVR,poly,0.005351857,0.07310257,0.056477109,0.049920512,0.639841735,0.599531202
Cluster 1,SVR,rbf,0.002588182,0.050844449,0.037167202,0.029339263,0.806359414,0.806105079
Cluster 1,SVR,sigmoid,6.173929411,2.483411822,1.776884781,1.256545159,-448.0281929,-463.4408558
Cluster 2,SVR,linear,0.001795747,0.04227277,0.028633178,0.021476825,0.7534033,0.741704364
Cluster 2,SVR,poly,0.003283403,0.057236109,0.047845525,0.048950739,0.709374428,0.525925013
Cluster 2,SVR,rbf,0.001958801,0.044159082,0.032221859,0.026687283,0.766021229,0.718306269
Cluster 2,SVR,sigmoid,0.002117269,0.045909565,0.032931842,0.02748472,0.711330036,0.695159843
Cluster 3,SVR,linear,0.008517078,0.091761998,0.0647758,0.046982187,0.669993535,0.663904593
Cluster 3,SVR,poly,0.011841606,0.108399535,0.082803114,0.070971927,0.539100974,0.532739541
Cluster 3,SVR,rbf,0.008490281,0.091622812,0.065541389,0.048455081,0.673100185,0.665515682
Cluster 3,SVR,sigmoid,0.036037872,0.189302022,0.146035089,0.122082123,-0.430129727,-0.444440276
Cluster 4,SVR,linear,0.003735411,0.061044307,0.043432619,0.031110365,0.777812561,0.776547791
Cluster 4,SVR,poly,0.005902212,0.076757814,0.060529392,0.054555748,0.688626459,0.646827208
Cluster 4,SVR,rbf,0.003631574,0.060202175,0.045224914,0.036420186,0.799333453,0.782533346
Cluster 4,SVR,sigmoid,2.903663126,1.703265032,1.262531062,0.984888287,-169.4279514,-173.7393856
Cluster 5,SVR,linear,0.006464673,0.080261533,0.058543083,0.046074661,0.777691595,0.775887349
Cluster 5,SVR,poly,0.009929307,0.099423182,0.076434633,0.069873941,0.669122396,0.656647364
Cluster 5,SVR,rbf,0.005772443,0.0758393,0.054577976,0.041735159,0.800626963,0.799797977
Cluster 5,SVR,sigmoid,1.91547943,1.383266103,1.037593866,0.752002527,-65.18667801,-65.92634743
Ariyalur,SVR,linear,0.004032257,0.0630349,0.045614809,0.035045709,0.851590901,0.849112149
Ariyalur,SVR,poly,0.008268801,0.090059451,0.066857038,0.057236556,0.708505633,0.693220253
Ariyalur,SVR,rbf,0.004042499,0.063070155,0.045962578,0.036766044,0.859079425,0.849152807
Ariyalur,SVR,sigmoid,0.232486062,0.481001321,0.362089646,0.277367292,-7.729175664,-7.940643077
Chennai,SVR,linear,0.004612647,0.067421113,0.050039705,0.04059778,0.805307645,0.800245978
Chennai,SVR,poly,0.010276781,0.100369228,0.072692406,0.059228999,0.575803128,0.563705372
Chennai,SVR,rbf,0.003785643,0.060927659,0.042412129,0.031005854,0.839475045,0.837239818
Chennai,SVR,sigmoid,0.263786519,0.511907416,0.353240748,0.241441767,-10.4075399,-10.92885563
Coimbatore,SVR,linear,0.004375066,0.06587709,0.048552861,0.038418464,0.831097226,0.828795454
Coimbatore,SVR,poly,0.006702065,0.081638634,0.066211556,0.062558908,0.774765909,0.738291407
Coimbatore,SVR,rbf,0.00433825,0.065549809,0.046405553,0.032549088,0.842141674,0.831273079
Coimbatore,SVR,sigmoid,0.005038027,0.07066947,0.051947861,0.041756713,0.805799931,0.803933828
Cuddalore,SVR,linear,0.003818105,0.061485409,0.046584327,0.038587734,0.881078428,0.879011182
Cuddalore,SVR,poly,0.009598619,0.097110519,0.069203987,0.053963834,0.706808563,0.701308409
Cuddalore,SVR,rbf,0.003036003,0.054698564,0.038950928,0.028360546,0.906964238,0.904297165
Cuddalore,SVR,sigmoid,0.299055897,0.545213176,0.398286045,0.301338931,-8.306158894,-8.663127524
Dharmapuri,SVR,linear,0.005759233,0.075579259,0.054424116,0.037929851,0.782676364,0.780080168
Dharmapuri,SVR,poly,0.009329847,0.096198841,0.076914775,0.071087584,0.668424787,0.647069925
Dharmapuri,SVR,rbf,0.00565584,0.074881451,0.054716246,0.039964489,0.792243902,0.784204603
Dharmapuri,SVR,sigmoid,0.210993279,0.373538139,0.273330901,0.18457772,-6.98581419,-7.344863901
Dindigul,SVR,linear,0.006859767,0.08232172,0.062185449,0.049257732,0.709610489,0.695086915
Dindigul,SVR,poly,0.009708068,0.098116211,0.078268822,0.07171802,0.582171054,0.567871385
Dindigul,SVR,rbf,0.007312936,0.085043646,0.066314939,0.055137273,0.696344352,0.674907706
Dindigul,SVR,sigmoid,0.032086969,0.150223355,0.11444926,0.092221425,-0.365378863,-0.422345254
Erode,SVR,linear,0.004888122,0.069579151,0.049730684,0.035406479,0.816585531,0.812518041
Erode,SVR,poly,0.00753763,0.086585054,0.069805335,0.062491685,0.724784348,0.710657051
Erode,SVR,rbf,0.005183777,0.071675472,0.053237695,0.042164908,0.811022889,0.80132323
Erode,SVR,sigmoid,0.009613142,0.082955509,0.059833144,0.043090705,0.644352359,0.634344575
Kancheepuram,SVR,linear,0.004825739,0.068908036,0.050780678,0.041780083,0.823676878,0.820783902
Kancheepuram,SVR,poly,0.011120206,0.10409534,0.071956546,0.054929041,0.604911826,0.598646458
Kancheepuram,SVR,rbf,0.004090363,0.063462267,0.045518141,0.035061319,0.850320699,0.847336062
Kancheepuram,SVR,sigmoid,0.291314394,0.537420429,0.376232768,0.259399651,-9.882653103,-10.34922297
Karur,SVR,linear,0.011632626,0.107468159,0.079738525,0.058817543,0.695825282,0.691917219
Karur,SVR,poly,0.016749848,0.128796135,0.099844907,0.085486459,0.564453495,0.560041786
Karur,SVR,rbf,0.011634591,0.107469536,0.08029859,0.060910429,0.696674537,0.692103738
Karur,SVR,sigmoid,0.146724781,0.382065314,0.291613342,0.226775693,-2.758162894,-2.928729411
Madurai,SVR,linear,0.007709304,0.086976406,0.064371745,0.05273467,0.624980647,0.6012079
Madurai,SVR,poly,0.010647573,0.102609866,0.080307211,0.074323069,0.467369642,0.446727617
Madurai,SVR,rbf,0.008055282,0.088986279,0.067173793,0.056919118,0.612553113,0.582957417
Madurai,SVR,sigmoid,0.02459717,0.139755868,0.10496001,0.084549862,-0.26585072,-0.304603674
Nagapattinam,SVR,linear,0.004711519,0.068230769,0.048730418,0.034491865,0.805988609,0.804019976
Nagapattinam,SVR,poly,0.010077849,0.099378694,0.069417662,0.056208314,0.594915977,0.590314487
Nagapattinam,SVR,rbf,0.004013102,0.062943261,0.044919731,0.033526278,0.837944863,0.833280879
Nagapattinam,SVR,sigmoid,0.328347047,0.571596936,0.421445462,0.323479595,-12.45504652,-13.08705931
Namakkal,SVR,linear,0.008498683,0.091856242,0.06880977,0.050119101,0.769601222,0.767218178
Namakkal,SVR,poly,0.013112044,0.113993981,0.087907051,0.077159607,0.647517548,0.642701791
Namakkal,SVR,rbf,0.008353594,0.091058069,0.068514107,0.04995076,0.774649547,0.771467618
Namakkal,SVR,sigmoid,0.205739546,0.452697771,0.340615699,0.250901305,-4.443861017,-4.731237761
Perambalur,SVR,linear,0.004983589,0.070163457,0.051026403,0.037275603,0.788913611,0.786824396
Perambalur,SVR,poly,0.007879045,0.088272186,0.066755384,0.057095152,0.67180892,0.663659663
Perambalur,SVR,rbf,0.005075446,0.070786158,0.051385026,0.039646333,0.791955835,0.783437425
Perambalur,SVR,sigmoid,0.21042622,0.435958628,0.330076259,0.255522075,-8.118138156,-8.336014894
Pudukkottai,SVR,linear,0.004693459,0.068095611,0.048342683,0.035102903,0.809897521,0.807445994
Pudukkottai,SVR,poly,0.008504602,0.091613929,0.068123318,0.056868488,0.667736723,0.653842142
Pudukkottai,SVR,rbf,0.004582883,0.067344132,0.049390559,0.037683353,0.820020663,0.811607431
Pudukkottai,SVR,sigmoid,0.124367983,0.351822539,0.2674784,0.207163617,-4.065056047,-4.208744325
Ramanathapuram,SVR,linear,0.006209468,0.078371547,0.05572162,0.04078083,0.759211646,0.756478894
Ramanathapuram,SVR,poly,0.009800187,0.098404478,0.075401446,0.065022742,0.633250974,0.620284355
Ramanathapuram,SVR,rbf,0.006293338,0.07890654,0.058023325,0.045050284,0.762306069,0.753740684
Ramanathapuram,SVR,sigmoid,0.032432251,0.156049016,0.113965106,0.082445563,-0.221803203,-0.259153167
Salem,SVR,linear,0.007913655,0.088617442,0.06504818,0.045735184,0.777439566,0.775937012
Salem,SVR,poly,0.012005839,0.109094447,0.083280398,0.071672228,0.666115601,0.661141488
Salem,SVR,rbf,0.007636324,0.08703614,0.063905726,0.046078017,0.787149878,0.783995644
Salem,SVR,sigmoid,0.290760518,0.530759563,0.394688279,0.28332266,-6.919371973,-7.373390265
Sivaganga,SVR,linear,0.005326177,0.072553309,0.051965752,0.036976559,0.787327292,0.783246343
Sivaganga,SVR,poly,0.008738925,0.092996238,0.071953521,0.06336827,0.660974388,0.647140105
Sivaganga,SVR,rbf,0.005522605,0.073954193,0.055441572,0.043708901,0.786027591,0.775078934
Sivaganga,SVR,sigmoid,0.006575081,0.078122993,0.057383123,0.043700645,0.738689163,0.730362406
Thanjavur,SVR,linear,0.005215056,0.071727891,0.050714267,0.036201692,0.784776994,0.780972382
Thanjavur,SVR,poly,0.009140646,0.094843375,0.06892498,0.055195377,0.627009101,0.619321604
Thanjavur,SVR,rbf,0.005127376,0.071152252,0.051661732,0.040496173,0.792082441,0.784253986
Thanjavur,SVR,sigmoid,0.167523579,0.40829605,0.308833002,0.233792395,-6.09581643,-6.253540465
Theni,SVR,linear,0.006130741,0.077347169,0.057935651,0.050616778,0.714948294,0.678838873
Theni,SVR,poly,0.007950006,0.088472819,0.06993371,0.066042094,0.621362372,0.579294936
Theni,SVR,rbf,0.006437648,0.079334858,0.060355376,0.054467249,0.704279889,0.662415266
Theni,SVR,sigmoid,0.007473689,0.081778264,0.057516938,0.044653283,0.620159887,0.605312453
The Nilgiris,SVR,linear,0.003270981,0.056009692,0.036193833,0.02616748,0.805653751,0.802533895
The Nilgiris,SVR,poly,0.005816053,0.075558337,0.060045575,0.060006191,0.741379438,0.638728205
The Nilgiris,SVR,rbf,0.003542796,0.058263602,0.038066972,0.029336497,0.791237612,0.78682498
The Nilgiris,SVR,sigmoid,0.004613642,0.066909173,0.048448092,0.041912778,0.723207533,0.718636359
Thiruvallur,SVR,linear,0.005398745,0.073076756,0.054240169,0.045971057,0.802253358,0.797420307
Thiruvallur,SVR,poly,0.011571347,0.106513707,0.074018778,0.058647183,0.580387134,0.575339405
Thiruvallur,SVR,rbf,0.00435011,0.065596679,0.047415504,0.038111641,0.838827912,0.836661228
Thiruvallur,SVR,sigmoid,0.268872978,0.516506857,0.367576311,0.256932459,-9.064419439,-9.374058948
Thiruvarur,SVR,linear,0.006065885,0.077390029,0.054691819,0.038065027,0.743327358,0.741193357
Thiruvarur,SVR,poly,0.010226437,0.100136839,0.07169019,0.057451868,0.581433454,0.571800402
Thiruvarur,SVR,rbf,0.005630163,0.07459889,0.054586757,0.041316894,0.769559407,0.758731644
Thiruvarur,SVR,sigmoid,0.193141787,0.438529031,0.331653035,0.252018472,-7.317884552,-7.540218373
Thoothukkudi,SVR,linear,0.008187072,0.089994165,0.065685785,0.049077865,0.678859882,0.673158234
Thoothukkudi,SVR,poly,0.012403105,0.110919357,0.084712138,0.071606331,0.512543784,0.507203286
Thoothukkudi,SVR,rbf,0.008241295,0.090322691,0.067662923,0.053141103,0.68234885,0.6713185
Thoothukkudi,SVR,sigmoid,0.034275593,0.184465516,0.140285126,0.115028863,-0.370088919,-0.387018667
Tiruchirapalli,SVR,linear,0.006065208,0.077640975,0.058127558,0.044362287,0.767495132,0.762695513
Tiruchirapalli,SVR,poly,0.009519816,0.097206041,0.076320598,0.067251617,0.637241053,0.629880262
Tiruchirapalli,SVR,rbf,0.006192646,0.078458014,0.059947667,0.048776567,0.768711542,0.75782526
Tiruchirapalli,SVR,sigmoid,0.180257817,0.41940674,0.317656138,0.249687714,-5.852574524,-6.169017758
Tirunelveli,SVR,linear,0.008533493,0.09171936,0.064847653,0.04699263,0.671922258,0.664371684
Tirunelveli,SVR,poly,0.011845614,0.108297435,0.082846836,0.071183265,0.5411131,0.533662839
Tirunelveli,SVR,rbf,0.008501596,0.091557311,0.065569971,0.048691077,0.674994892,0.666260151
Tirunelveli,SVR,sigmoid,0.036126086,0.189409905,0.146190761,0.122916364,-0.43061999,-0.449085851
Tiruvannamalai,SVR,linear,0.0064246,0.07968081,0.058414787,0.045561973,0.810376904,0.807254588
Tiruvannamalai,SVR,poly,0.012141607,0.109331295,0.078181568,0.064912748,0.642708693,0.638544066
Tiruvannamalai,SVR,rbf,0.005456431,0.073395923,0.05231185,0.037920182,0.838077128,0.836429145
Tiruvannamalai,SVR,sigmoid,0.317563689,0.562226961,0.413624981,0.307199385,-8.581786815,-8.769676844
Vellore,SVR,linear,0.00811209,0.08961312,0.065761557,0.050834176,0.762892011,0.758410543
Vellore,SVR,poly,0.012887426,0.112831859,0.083919836,0.070747937,0.622444364,0.618301797
Vellore,SVR,rbf,0.007349194,0.08529654,0.061146919,0.044891549,0.782698219,0.781254286
Vellore,SVR,sigmoid,0.355876644,0.595485348,0.442913391,0.336017288,-9.672797823,-9.871282838
Viluppuram,SVR,linear,0.003605457,0.059856697,0.046310397,0.037798601,0.887474502,0.885943362
Viluppuram,SVR,poly,0.009308977,0.095862361,0.067970376,0.054114005,0.713217711,0.709431894
Viluppuram,SVR,rbf,0.002777737,0.05242565,0.038323559,0.029075414,0.913489363,0.912482276
Viluppuram,SVR,sigmoid,0.279822607,0.527738998,0.386666151,0.278733774,-7.776489726,-7.983264383
Virudhunagar,SVR,linear,0.009439898,0.096419444,0.071279683,0.057516352,0.631731895,0.615849775
Virudhunagar,SVR,poly,0.013572722,0.11594047,0.089095897,0.07794015,0.455163988,0.447361624
Virudhunagar,SVR,rbf,0.009768768,0.098103723,0.073778446,0.061634466,0.623693802,0.603181984
Virudhunagar,SVR,sigmoid,0.033606937,0.178189114,0.133411821,0.105361679,-0.382247414,-0.406818197
